"elementList__propertyCode","elementList__thumbnail","elementList__externalReference","elementList__numPhotos","elementList__floor","elementList__price","elementList__propertyType","elementList__operation","elementList__size","elementList__exterior","elementList__rooms","elementList__bathrooms","elementList__address","elementList__province","elementList__municipality","elementList__district","elementList__country","elementList__neighborhood","elementList__latitude","elementList__longitude","elementList__showAddress","elementList__url","elementList__distance","elementList__hasVideo","elementList__status","elementList__newDevelopment","elementList__hasLift","elementList__parkingSpace__hasParkingSpace","elementList__parkingSpace__isParkingSpaceIncludedInPrice","elementList__parkingSpace__parkingSpacePrice","elementList__priceByArea","elementList__detailedType__typology","elementList__detailedType__subTypology","elementList__suggestedTexts__subtitle","elementList__suggestedTexts__title","elementList__hasPlan","elementList__has3DTour","elementList__has360","total","totalPages","actualPage","itemsPerPage","numPaginations","hiddenResults","summary","paginable","upperRangePosition","lowerRangePosition"
"87860887","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/64/e6/e2/732661305.jpg","50-87-A5238","37","6","850.0","flat","rent","96.0","True","4","2","Plaza Emilio Alfaro Gracia","Zaragoza","Zaragoza","Almozara","es","Almozara","41.6597375","-0.8933332","False","https://www.idealista.com/inmueble/87860887/","1514","False","","False","True","","","","9.0","flat","","Almozara, Zaragoza","Piso en Plaza Emilio Alfaro Gracia","False","False","False","222","5","1","50","0","False","Alquilar","True","50","0"
"87874646","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/94/03/da/732993597.jpg","50-87-A4019","15","4","695.0","flat","rent","84.0","True","3","2","Calle de Marcelino Unceta, 92","Zaragoza","Zaragoza","Delicias","es","Mercado San Valero","41.6495328","-0.9010035","True","https://www.idealista.com/inmueble/87874646/","1075","False","good","False","True","","","","8.0","flat","","Mercado San Valero, Zaragoza","Piso en Calle de Marcelino Unceta, 92","False","False","False","","","","","","","Viviendas","","",""
"87890716","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/32/04/5f/733573973.jpg","50-87-A5268","34","6","900.0","flat","rent","120.0","True","4","2","barrio Universidad San Francisco","Zaragoza","Zaragoza","Universidad San Francisco","es","Universidad San Francisco","41.6451529","-0.8950155","False","https://www.idealista.com/inmueble/87890716/","1770","False","","False","True","","","","8.0","flat","","Universidad San Francisco, Zaragoza","Piso","False","False","False","","","","","","","barrio Bombarda - Monsalud, Zaragoza","","",""
"88029595","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ce/23/a0/736834754.jpg","CAP 024610","9","2","500.0","flat","rent","63.0","True","2","1","barrio Parcelación Barcelona","Zaragoza","Zaragoza","Delicias","es","Parcelación Barcelona","41.6524609","-0.9105303","False","https://www.idealista.com/inmueble/88029595/","377","False","good","False","True","","","","8.0","flat","","Parcelación Barcelona, Zaragoza","Piso","False","False","False","","","","","","","Todos los precios","","",""
"88076431","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/01/9b/24/737979845.jpg","CAP 034939","10","4","460.0","flat","rent","42.0","True","1","1","barrio Almozara","Zaragoza","Zaragoza","Almozara","es","Almozara","41.6568876","-0.901892","False","https://www.idealista.com/inmueble/88076431/","749","False","good","False","True","","","","11.0","flat","","Almozara, Zaragoza","Piso","False","False","False","","","","","","","Todos los tamaños","","",""
"88162866","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c9/5f/17/740275955.jpg","CAP 025329","16","9","580.0","flat","rent","70.0","True","3","2","barrio Doctor Cerrada","Zaragoza","Zaragoza","Centro","es","Doctor Cerrada","41.6501106","-0.8946579","False","https://www.idealista.com/inmueble/88162866/","1485","False","good","False","True","","","","8.0","flat","","Doctor Cerrada, Zaragoza","Piso","False","False","False","","","","","","","","","",""
"88176575","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5f/59/7c/740636190.jpg","","20","1","660.0","flat","rent","80.0","False","3","1","C/CANOVAS, 27","Zaragoza","Zaragoza","Centro","es","Doctor Cerrada","41.6472333","-0.8929017","True","https://www.idealista.com/inmueble/88176575/","1769","False","good","False","True","True","False","100.0","8.0","flat","","Doctor Cerrada, Zaragoza","Piso en C/CANOVAS, 27","True","False","False","","","","","","","","","",""
"88137626","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f3/b9/ed/739594809.jpg","Alquiler Eloy","29","3","490.0","flat","rent","55.0","True","2","1","Eloy Martinez","Zaragoza","Zaragoza","Delicias","es","Parcelación Barcelona","41.6490711","-0.9149528","False","https://www.idealista.com/inmueble/88137626/","828","True","good","False","False","","","","9.0","flat","","Parcelación Barcelona, Zaragoza","Piso en Eloy Martinez","False","False","False","","","","","","","","","",""
"88186940","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d3/d2/ae/740876875.jpg","CAP 018818","16","6","590.0","flat","rent","80.0","True","3","1","barrio Barrio del AVE","Zaragoza","Zaragoza","Delicias","es","Barrio del AVE","41.6566724","-0.8999046","False","https://www.idealista.com/inmueble/88186940/","910","False","good","False","True","","","","7.0","flat","","Barrio del AVE, Zaragoza","Piso","False","False","False","","","","","","","","","",""
"88185709","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cf/97/5d/740850154.jpg","San Pablo","18","4","550.0","penthouse","rent","60.0","True","2","1","Calle San Pablo","Zaragoza","Zaragoza","Casco Historico","es","San Pablo","41.6582518","-0.8904994","False","https://www.idealista.com/inmueble/88185709/","1707","False","good","False","True","","","","9.0","flat","penthouse","San Pablo, Zaragoza","Ático en Calle San Pablo","False","False","False","","","","","","","","","",""
